0a18a57a380
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1012 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1012 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1012 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1212 1000 1000 1000 1012 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1012 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016;4b0b6b0 0b0b0b0 0b0b0b0 -1b-1b1b-1;1c2c5c423 1c2c245c423 2c2c300c267 6c2c547c120 1c45c385 4c427c411 7c476c425 11c114c120 15c495c229 14c353c133 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1512 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 3015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 3015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 6012 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 2015 2016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 2015 2016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 2015 2016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016;6b5b5b0 0b0b0b0 0b0b0b0 0b-1b2b-1;6c2c408c0 6c2c454c270 3c2c178c412 2c2c551c417 2c2c451c417 2c2c346c417 0c1c96c392 0c1c125c392 0c1c271c272 0c1c325c302 0c1c384c362 11c406c173 11c128c81 15c273c276 8c395c397 9c433c411 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1011 1011 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1011 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1011 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1011 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1011 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1011 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1011 1012 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1112 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1112 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1012 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016;7b1b7b0 0b0b0b0 0b0b0b0 1b-1b3b-1;6c2c93c120 3c2c236c262 3c2c424c412 1c2c384c303 1c2c160c273 1c2c246c423 6c2c559c300 10c1c421c269 6c222c385 7c97c425 11c161c182 12c496c257 14c311c227 15c459c128 15c68c42 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1011 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 5011 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 7012 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1212 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1012 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016;20b0b7b0 0b0b0b0 0b0b0b0 2b-1b4b-1;6c2c554c150 6c2c555c180 6c2c555c210 6c2c554c240 6c2c551c270 6c2c546c420 6c2c546c390 6c2c551c120 6c2c550c90 6c2c548c60 6c2c551c30 2c2c407c417 6c2c131c90 6c2c172c150 6c2c45c240 6c2c237c270 6c2c347c150 6c2c437c240 6c2c271c60 1c2c357c303 11c80c112 15c493c217 15c274c255 14c410c292 7c343c425 6c429c385 8c272c397 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1014 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1014 1014 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1014 1014 1014 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1014 1014 1014 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 6012 1000 1000 1000 1000 1014 1014 1015 1016 1000 1000 1000 1000 6012 1000 1000 1000 1000 1000 1000 6012 1000 1000 1014 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 6012 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 6012 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 6012 1000 1000 1000 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 6012 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 6012 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1014 1014 1014 1015 1016;4b0b6b0 0b0b0b0 0b0b0b0 3b-1b5b-1;1c2c563c333 1c2c186c333 1c2c148c363 6c2c477c270 8c40c397 9c75c411 11c115c233 11c458c155 15c222c96 7c438c425 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1014 1014 1014 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1014 1014 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1014 1015 1016 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000;6b0b5b0 0b0b0b0 0b0b0b0 4b-1b-1b6;6c2c188c90 6c2c526c390 6c2c268c390 6c2c523c180 6c2c360c270 6c2c147c210 9c70c381 11c48c149 11c480c306 15c238c346 15c482c54 
1021 1021 1021 1021 1021 1021 1021 1021 1021 1021 1021 1021 1021 1021 1021 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 2025 2026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 2025 2026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 2025 2026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 2025 2026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1022 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1022 1022 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1022 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1022 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1021 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1021 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1021 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026;6b6b1b0 1b2b0b0 0b0b0b0 -1b5b8b7;1c2c366c303 2c2c524c417 2c2c218c417 3c2c373c412 6c2c534c180 6c2c172c120 10c1c308c239 0c1c96c302 0c1c119c302 0c1c140c302 0c1c162c302 0c1c185c302 14c419c322 
1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1024 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1024 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1024 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1024 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1024 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1024 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1024 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1024 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1024 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1024 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1025 1026;14b0b0b0 1b2b0b0 0b0b0b0 -1b6b-1b-1;2c2c516c417 2c2c516c417 2c2c456c417 2c2c421c417 2c2c363c417 2c2c311c417 2c2c257c417 2c2c214c417 2c2c155c417 2c2c118c417 2c2c84c417 2c2c46c417 2c2c186c417 2c2c286c417 
1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 6022 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 6022 1000 1000 1000 6122 1000 1000 1000 1000 1000 1000 1021 1000 1000 1000 1000 1000 6022 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 5021 5021 5021 5021 5021 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026;4b7b1b0 1b2b0b0 0b0b0b0 6b-1b9b-1;1c2c328c423 1c2c409c423 1c2c493c423 3c2c146c412 0c1c191c392 0c1c234c392 0c1c278c392 0c1c342c212 0c1c344c272 0c1c402c212 0c1c408c272 14c257c122 
1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 3025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 3025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 3025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 4022 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 4022 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 4022 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 3025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 3025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 3025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 3025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026 1000 1021 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1025 1026;7b1b1b0 1b2b0b0 0b0b0b0 8b-1b10b-1;6c2c101c120 6c2c292c180 6c2c486c270 1c2c249c303 3c2c401c412 2c2c250c417 2c2c563c417 10c1c298c269 14c153c221 
